persona,asset_id,package,type,reference,motif,quality,pose,already_used,website,instagram,reserve,rights_status,recommendation
Leona,LV-L1-S1,Spätsommer in Berlin,reused-master,assets/generated/leona-voss/2026-09-05/l1-spaetsommer-berlin/01-frontal-profile-anchor.png,profile close-up,8.8,frontal,review,profile close-up,carousel reserve,yes,AI_GENERATED,KEEP
Leona,LV-L1-S2,Spätsommer in Berlin,generated,assets/generated/leona-voss/2026-09-05/l1-spaetsommer-berlin/02-left-three-quarter-cafe.png,cafe city lifestyle,8.8,left three-quarter,review,portfolio candid,carousel top2,no,AI_GENERATED,TOP_PICK
Leona,LV-L1-S3,Spätsommer in Berlin,generated,assets/generated/leona-voss/2026-09-05/l1-spaetsommer-berlin/03-right-three-quarter-altbau.png,Altbau September light,8.7,right three-quarter,review,portfolio city,carousel reserve,yes,AI_GENERATED,KEEP
Leona,LV-L1-S4,Spätsommer in Berlin,generated,assets/generated/leona-voss/2026-09-05/l1-spaetsommer-berlin/04-full-body-walk.png,Berlin city walk,9.0,full body movement,review,portfolio full-body,carousel top1,no,AI_GENERATED,TOP_PICK
Leona,LV-L1-S5,Spätsommer in Berlin,generated,assets/generated/leona-voss/2026-09-05/l1-spaetsommer-berlin/05-candid-shoulder-cafe.png,cafe shoulder look,8.8,candid,review,portfolio candid,carousel top3,no,AI_GENERATED,TOP_PICK
Leona,LV-RF-S1,September Roofline,generated,assets/generated/leona-voss/2026-09-06/lv-btt-01-september-roofline/01-frontal-rooftop.png,rooftop close-up,8.7,frontal,review,profile editorial,carousel reserve,yes,AI_GENERATED,KEEP
Leona,LV-RF-S2,September Roofline,generated,assets/generated/leona-voss/2026-09-06/lv-btt-01-september-roofline/02-left-three-quarter-railing.png,rooftop railing skyline,8.9,left three-quarter,review,portfolio editorial,carousel top2,no,AI_GENERATED,TOP_PICK
Leona,LV-RF-S3,September Roofline,generated,assets/generated/leona-voss/2026-09-06/lv-btt-01-september-roofline/03-right-three-quarter-reflection.png,rooftop reflection,8.7,right three-quarter,review,portfolio editorial,carousel reserve,yes,AI_GENERATED,KEEP
Leona,LV-RF-S4,September Roofline,generated,assets/generated/leona-voss/2026-09-06/lv-btt-01-september-roofline/04-full-body-rooftop-walk.png,rooftop movement,9.0,full body movement,published-2026-09-04,hero full-body,instagram-post-Dc3elLhAC2-,no,AI_GENERATED,PUBLISHED
Leona,LV-RF-S5,September Roofline,generated,assets/generated/leona-voss/2026-09-06/lv-btt-01-september-roofline/05-candid-seated-cuff.png,seated rooftop candid,8.8,candid seated,review,portfolio candid,carousel top3,no,AI_GENERATED,TOP_PICK
Mara,MF-M1-S1,Fünf Minuten Maschinencheck,reused-master,assets/generated/mara-field/2026-09-05/m1-maschinencheck/01-frontal-profile-anchor.png,workshop close-up,8.8,frontal,review,profile close-up,carousel reserve,yes,AI_GENERATED,KEEP
Mara,MF-M1-S2,Fünf Minuten Maschinencheck,generated,assets/generated/mara-field/2026-09-05/m1-maschinencheck/02-left-three-quarter-tire-check.png,tractor tire check,8.9,left three-quarter,review,farm technique,carousel top2,no,AI_GENERATED,TOP_PICK
Mara,MF-M1-S3,Fünf Minuten Maschinencheck,generated,assets/generated/mara-field/2026-09-05/m1-maschinencheck/03-right-three-quarter-light-check.png,tractor light check,8.7,right three-quarter,review,farm technique,carousel reserve,yes,AI_GENERATED,KEEP
Mara,MF-M1-S4,Fünf Minuten Maschinencheck,generated,assets/generated/mara-field/2026-09-05/m1-maschinencheck/04-full-body-morning-walk.png,morning farm walk,9.0,full body movement,published-2026-09-04,farm hero full-body,instagram-post-Dc3d7CHgO3S,no,AI_GENERATED,PUBLISHED
Mara,MF-M1-S5,Fünf Minuten Maschinencheck,generated,assets/generated/mara-field/2026-09-05/m1-maschinencheck/05-candid-tractor-step.png,tractor interaction,8.8,candid interaction,review,farm lifestyle,carousel top3,no,AI_GENERATED,TOP_PICK
Mara,MF-KF-S1,Küchenfenster,generated,assets/generated/mara-field/2026-09-06/mf-btt-02-kuechenfenster/01-frontal-kitchen.png,farm kitchen close-up,8.7,frontal,review,profile lifestyle,carousel reserve,yes,AI_GENERATED,KEEP
Mara,MF-KF-S2,Küchenfenster,generated,assets/generated/mara-field/2026-09-06/mf-btt-02-kuechenfenster/02-left-three-quarter-pour.png,pouring coffee,8.8,left three-quarter,review,portfolio action,carousel reserve,yes,AI_GENERATED,KEEP
Mara,MF-KF-S3,Küchenfenster,generated,assets/generated/mara-field/2026-09-06/mf-btt-02-kuechenfenster/03-right-three-quarter-window.png,kitchen window,8.9,right three-quarter,review,portfolio lifestyle,carousel top2,no,AI_GENERATED,TOP_PICK
Mara,MF-KF-S4,Küchenfenster,generated,assets/generated/mara-field/2026-09-06/mf-btt-02-kuechenfenster/04-full-body-kitchen-walk.png,kitchen movement,9.0,full body movement,review,portfolio full-body,carousel top1,no,AI_GENERATED,TOP_PICK
Mara,MF-KF-S5,Küchenfenster,generated,assets/generated/mara-field/2026-09-06/mf-btt-02-kuechenfenster/05-candid-table-notebook.png,coffee notebook candid,8.9,candid seated,review,portfolio candid,carousel top3,no,AI_GENERATED,TOP_PICK
